sku,title,name,creator,art_series,price,reservable,symbol,type,likes,cid,path,tags
0027,DeepDream,Lemuria Dream,trayan,trayan_deepdream_lemuria-dream,9,TRUE,SWAP.HIVE,PHOTO,0,QmU17s7bue6TXyt9cCnmgBkFTLhm4VLqXVTDpUoYPXSejb,image/QmU17s7bue6TXyt9cCnmgBkFTLhm4VLqXVTDpUoYPXSejb.jpg,"['Art', 'Creative arts', 'Painting', 'Circle', 'Pattern', 'Symmetry', 'Visual arts', 'Paint', 'Illustration', 'Spiral']"
0028,Ancient Vaporwave,Felurian,daragfx,daragfx_ancient-vaporwave_felurian,50,TRUE,SWAP.HIVE,PHOTO,0,QmZckkM4LWMBM2LvQc29hgUwPb4NiYWfc44tNSpfAqE3VU,image/QmZckkM4LWMBM2LvQc29hgUwPb4NiYWfc44tNSpfAqE3VU.jpg,"['Hair', 'Outerwear', 'Sky', 'Cloud', 'Dress', 'Black hair', 'Beauty', 'People in nature', 'Art', 'Happy']"
0029,Ancient Vaporwave,Secret of The New Republic,daragfx,daragfx_ancient-vaporwave_secret-of-the-new-republic,50,TRUE,SWAP.HIVE,PHOTO,0,QmQ6gqaWQLupSYT9BufLFW9yp1vSU8McBE4gTXXKpkj8Qk,image/QmQ6gqaWQLupSYT9BufLFW9yp1vSU8McBE4gTXXKpkj8Qk.jpg,"['Sleeve', 'Cloud', 'Purple', 'Flash photography', 'Sky', 'Cg artwork', 'Magenta', 'Armour', 'Darkness', 'Cuirass']"
0030,Ancient Vaporwave,Lanfear,daragfx,daragfx_ancient-vaporwave_lanfear,50,TRUE,SWAP.HIVE,PHOTO,0,QmcfseE7EfMGKvFxwenqt3zou1ZAPkJ6mWwpYCzStzBewG,image/QmcfseE7EfMGKvFxwenqt3zou1ZAPkJ6mWwpYCzStzBewG.jpg,"['Hair', 'Cloud', 'Sky', 'Flash photography', 'Art', 'Headgear', 'Sculpture', 'Cg artwork', 'Wing', 'Jewellery']"
0031,Art Of Jrej,Zombies at your Wedding!!!,jrej,jrej_art-of-jrej_zombies-at-your-wedding,11,TRUE,SWAP.HIVE,PHOTO,0,QmNj9Az71n3vNgNr3V3By4KroA779APt8WTqkQEBuW9NBj,image/QmNj9Az71n3vNgNr3V3By4KroA779APt8WTqkQEBuW9NBj.jpg,"['Plant', 'Organism', 'Font', 'Terrestrial plant', 'Art', 'Grass', 'Working animal', 'Illustration', 'Tree', 'Pattern']"
0032,Shades Of Men,Gun Fu Corridor,jrej,jrej_shades-of-men_gun-fu-corridor,4,TRUE,SWAP.HIVE,PHOTO,0,QmaHDZ6LK7FWxQ9EKnJYUPCnQPWdme4FrTttYQSzAo5c5X,image/QmaHDZ6LK7FWxQ9EKnJYUPCnQPWdme4FrTttYQSzAo5c5X.jpg,"['Cartoon', 'Art', 'Black hair', 'Creative arts', 'Fictional character', 'Drawing', 'Visual arts', 'Illustration', 'Graphics', 'Art paint']"
0033,Art Of Jrej,A Dangerous World,jrej,jrej_art-of-jrej_a-dangerous-world,11,TRUE,SWAP.HIVE,PHOTO,0,Qmd41D1FyoFAqcZbeuFd1J1RYUAe3kMxYB6GbRBP2vUCuc,image/Qmd41D1FyoFAqcZbeuFd1J1RYUAe3kMxYB6GbRBP2vUCuc.jpg,"['Photograph', 'Organism', 'Gesture', 'Art', 'Cartoon', 'Painting', 'Rectangle', 'Paint', 'Adaptation', 'People in nature']"
0034,Art Of Jrej,A Cat and the Dark,jrej,jrej_art-of-jrej_a-cat-and-the-dark,11,TRUE,SWAP.HIVE,PHOTO,0,QmdLVtjB1kNgExMiAeW2vcJoiXWyvK8UMDdJcfzVjiaVF5,image/QmdLVtjB1kNgExMiAeW2vcJoiXWyvK8UMDdJcfzVjiaVF5.jpg,"['Painting', 'Art', 'String instrument', 'Cg artwork', 'Illustration', 'Drawing', 'Visual arts', 'Musician', 'Music', 'Still life photography']"
0035,Art Of Jrej,All About Her,jrej,jrej_art-of-jrej_all-about-her,15,TRUE,SWAP.HIVE,PHOTO,0,QmZLMm1G8qKhHeub9FhyQenkBfrR3oNxoL1QVpBbDsAGwZ,image/QmZLMm1G8qKhHeub9FhyQenkBfrR3oNxoL1QVpBbDsAGwZ.jpg,"['Hair', 'Hairstyle', 'White', 'Product', 'Organ', 'Human', 'Smile', 'Organism', 'Handwriting', 'Gesture']"
0036,Mobile Phone NFTs,The Mixing,lacking,lacking_mobile-phone-nfts_the-mixing,15,TRUE,SWAP.HIVE,PHOTO,0,QmWuNNaGButZNcZyZsTW8WbjjReGPYrFs4BMzX2pVVmBFQ,image/QmWuNNaGButZNcZyZsTW8WbjjReGPYrFs4BMzX2pVVmBFQ.jpg,"['Water', 'Water resources', 'Liquid', 'Watercourse', 'Body of water', 'Natural landscape', 'Art', 'Landscape', 'Tints and shades', 'Horizon']"
